specObjID,objID,z,ra,dec
276633768213610496,587730846349460976,0.187092006206512,310.65609873,-0.75511547
276352159929335808,587730846348935552,0.119351997971535,309.44889417,-0.77040114
276352158893342720,587730846349722317,0.129557996988297,311.17458624,-0.80655688
276352158767513600,587730846349722780,0.215709999203682,311.28344546,-0.71232124
276352159920947200,587730846348936140,0.0937684997916222,309.40261828,-0.81391922
276633767865483264,587730846349918265,0.0577181987464428,311.60725054,-0.79220107
276633767718682624,587730846349984405,0.217599004507065,311.76606741,-0.81963434
276633767303446528,587730846350247051,0.177147999405861,312.39406479,-0.68044142
276633767475412992,587730846349984471,0.0984705984592438,311.7939337,-0.6865449
276633767706099712,587730846349984478,0.106464996933937,311.79632017,-0.8080384
276633767248920576,587730846350246520,0.14886899292469,312.36191497,-0.72197398
