# VIPERS Database
# File    : w4_spec_radec.txt.gz
# Date    : 2013-02-28 10:42
# Table   : W4_PHOT correlated with W4_SPECTRO_V3_0
# Columns : 3
# Rows    : 24858
# SQL     : SELECT W4_PHOT.alpha, W4_PHOT.delta, W4_SPECTRO_V3_0.zspec 
#           FROM W4_PHOT INNER JOIN W4_SPECTRO_V3_0 USING (num) WHERE (
#           W4_SPECTRO_V3_0.zflg >= 2)
# W4_PHOT.alpha	W4_PHOT.delta	W4_SPECTRO_V3_0.zspec
# DOUBLE	DOUBLE	FLOAT
# deg	deg	
330.437332	0.891583	0.7537
330.440664	0.886770	0.7710
330.439219	0.986413	0.0000
330.442415	0.895798	0.7543
330.442035	0.939824	0.7572
330.445044	0.878700	0.6003
330.446797	0.906471	0.7058
330.452095	0.880667	0.5590
330.453614	0.881726	0.0000
330.456354	0.879881	0.8900
330.456401	0.929670	0.6709
330.457992	0.950023	0.8315
330.460044	0.925575	0.4742
330.466932	0.984434	0.0000
330.468038	0.913818	0.4720
330.468548	0.913795	0.4741
330.469321	0.982962	0.5500
330.471109	0.863752	0.4070
330.473113	0.933577	0.4310
330.474299	0.933631	0.4310
330.474609	0.985587	0.6628
330.476685	0.979247	0.0000
330.478079	0.887820	0.5840
330.483285	0.946106	0.6344
330.490177	0.917548	0.0000
330.491501	0.877557	0.0000
330.492295	0.942410	0.0000
330.494321	0.869498	0.7555
330.505525	0.930507	0.5132
332.195756	0.922529	0.5101
332.196051	0.985802	0.7209
332.197758	0.949996	0.7815
332.202162	0.891596	0.7311
332.199838	0.941568	0.9310
332.199174	0.987915	0.6660
332.203249	0.870966	0.4393
332.203623	0.932166	0.4117
332.205061	0.982739	0.5256
332.206043	0.864907	0.7817
332.206914	0.938158	0.4652
332.207167	0.981966	0.7739
332.209805	0.962396	0.7799
332.212254	0.872421	0.7772
332.213361	0.913690	0.6897
332.213462	0.965258	0.9100
332.215743	0.870345	0.7351
332.215841	0.967300	0.7790
332.218279	0.905367	0.4768
332.217472	0.984656	0.7017
332.219483	0.904967	0.4761
332.227813	0.868967	0.7660
332.227307	0.911392	0.8898
332.230096	0.892473	0.7796
332.232053	0.960251	0.5822
332.233242	0.888946	0.7370
332.234798	0.973944	0.6450
332.236049	0.906823	0.7386
332.237621	0.894302	0.4170
332.237514	0.945472	1.3162
332.239352	0.901939	0.8390
332.242205	0.897838	0.6580
332.241840	0.964610	0.7404
332.245238	0.867189	0.9032
332.247249	0.915343	0.7400
332.248625	0.883282	0.5502
332.249862	0.883030	0.6071
332.250848	0.936310	0.4776
332.254886	0.894209	0.7411
332.257799	0.886814	0.0000
332.264339	0.975608	0.8879
332.267232	0.890698	0.5956
332.270554	0.900755	0.5516
332.272229	0.926206	0.8666
332.273830	0.894729	0.5507
332.275274	0.931686	0.5513
332.276623	0.943727	0.8964
332.280466	0.968936	0.7394
332.282081	0.954614	0.8975
332.283837	0.919679	0.8406
332.284907	0.872872	0.6884
332.287829	0.918365	0.5562
332.286131	0.964047	0.5179
332.288938	0.865687	0.7648
332.299103	0.939087	0.0000
332.301023	0.934111	0.0000
332.304479	0.934527	1.0503
332.195540	1.037332	0.4809
332.196031	1.113091	0.9306
332.195030	1.154272	0.7926
332.198121	1.116852	0.9300
332.198799	1.159281	0.7824
332.201905	1.042051	0.4410
332.202303	1.084221	0.6987
332.202410	1.155117	0.6933
332.203990	1.142542	0.8660
332.206506	1.100893	0.6897
332.208221	1.047139	0.9336
332.208031	1.091147	0.9129
332.213544	1.089447	1.4737
332.215474	1.089853	0.9632
332.215409	1.157028	0.7930
332.216885	1.069728	0.5100
332.222557	1.115343	0.8201
332.226292	1.110434	0.0000
332.226265	1.156154	0.8874
332.227751	1.068622	0.9396
332.231540	1.151293	0.8893
332.233071	1.071924	0.9120
332.233075	1.114682	0.6160
332.235203	1.054736	0.5570
332.240557	1.103102	0.9301
332.245967	1.045348	0.8358
332.245521	1.146626	0.7179
332.249654	1.035862	0.8926
332.248938	1.110912	0.0000
332.250129	1.110652	0.4583
332.249482	1.158953	0.3428
332.252094	1.045274	0.7385
332.251941	1.132368	0.5176
332.254995	1.056374	0.4590
332.258158	1.041498	0.7428
332.259061	1.110414	0.7039
332.261277	1.102652	0.7030
332.263327	1.045642	0.7415
332.263540	1.104881	0.7024
332.267618	1.063853	0.6110
332.267869	1.122769	0.5070
332.271863	1.041303	0.7930
332.271762	1.113336	0.0000
332.273479	1.050889	0.0000
332.274971	1.047151	0.6883
332.274430	1.141515	0.1492
332.276911	1.063588	1.1185
332.277587	1.063455	0.9120
332.276796	1.101939	0.8951
332.280872	1.041990	0.6447
332.279979	1.134364	0.8913
332.282157	1.091395	0.0000
